Enhet;År;Kommunenummer;Kommune;Bosetting;Antall
Personer;1995;0901;;Anmodning om bosetting;20
Personer;1995;0901;;Faktisk bosetting;.
Personer;1995;0901;;Vedtak om bosetting;20
Personer;1995;0904;;Anmodning om bosetting;20
Personer;1995;0904;;Faktisk bosetting;.
Personer;1995;0904;;Vedtak om bosetting;10
Personer;1995;0906;;Anmodning om bosetting;30
Personer;1995;0906;;Faktisk bosetting;.
Personer;1995;0906;;Vedtak om bosetting;19
Personer;1995;0911;;Anmodning om bosetting;20
Personer;1995;0911;;Faktisk bosetting;.
Personer;1995;0911;;Vedtak om bosetting;6
Personer;1995;0912;;Anmodning om bosetting;.
Personer;1995;0912;;Faktisk bosetting;.
Personer;1995;0912;;Vedtak om bosetting;.
Personer;1995;0914;;Anmodning om bosetting;20
Personer;1995;0914;;Faktisk bosetting;.
Personer;1995;0914;;Vedtak om bosetting;.
Personer;1995;0919;;Anmodning om bosetting;.
Personer;1995;0919;;Faktisk bosetting;.
Personer;1995;0919;;Vedtak om bosetting;.
Personer;1995;0926;;Anmodning om bosetting;20
Personer;1995;0926;;Faktisk bosetting;.
Personer;1995;0926;;Vedtak om bosetting;.
Personer;1995;0928;;Anmodning om bosetting;20
Personer;1995;0928;;Faktisk bosetting;.
Personer;1995;0928;;Vedtak om bosetting;.
Personer;1995;0929;;Anmodning om bosetting;.
Personer;1995;0929;;Faktisk bosetting;.
Personer;1995;0929;;Vedtak om bosetting;.
Personer;1995;0935;;Anmodning om bosetting;.
Personer;1995;0935;;Faktisk bosetting;.
Personer;1995;0935;;Vedtak om bosetting;.
Personer;1995;0937;;Anmodning om bosetting;.
Personer;1995;0937;;Faktisk bosetting;.
Personer;1995;0937;;Vedtak om bosetting;.
Personer;1995;0938;;Anmodning om bosetting;.
Personer;1995;0938;;Faktisk bosetting;.
Personer;1995;0938;;Vedtak om bosetting;.
Personer;1995;0940;;Anmodning om bosetting;.
Personer;1995;0940;;Faktisk bosetting;.
Personer;1995;0940;;Vedtak om bosetting;.
Personer;1995;0941;;Anmodning om bosetting;.
Personer;1995;0941;;Faktisk bosetting;.
Personer;1995;0941;;Vedtak om bosetting;.
Personer;1995;1001;Kristiansand (t.o.m. 2019);Anmodning om bosetting;106
Personer;1995;1001;Kristiansand (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;1001;Kristiansand (t.o.m. 2019);Vedtak om bosetting;106
Personer;1995;1002;Mandal (t.o.m. 2019);Anmodning om bosetting;15
Personer;1995;1002;Mandal (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;1002;Mandal (t.o.m. 2019);Vedtak om bosetting;15
Personer;1995;1003;;Anmodning om bosetting;10
Personer;1995;1003;;Faktisk bosetting;.
Personer;1995;1003;;Vedtak om bosetting;10
Personer;1995;1004;;Anmodning om bosetting;.
Personer;1995;1004;;Faktisk bosetting;.
Personer;1995;1004;;Vedtak om bosetting;.
Personer;1995;1014;;Anmodning om bosetting;.
Personer;1995;1014;;Faktisk bosetting;.
Personer;1995;1014;;Vedtak om bosetting;.
Personer;1995;1017;Songdalen (t.o.m. 2019);Anmodning om bosetting;20
Personer;1995;1017;Songdalen (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;1017;Songdalen (t.o.m. 2019);Vedtak om bosetting;20
Personer;1995;1018;Søgne (t.o.m. 2019);Anmodning om bosetting;20
Personer;1995;1018;Søgne (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;1018;Søgne (t.o.m. 2019);Vedtak om bosetting;10
Personer;1995;1021;Marnardal (t.o.m. 2019);Anmodning om bosetting;10
Personer;1995;1021;Marnardal (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;1021;Marnardal (t.o.m. 2019);Vedtak om bosetting;5
Personer;1995;1026;;Anmodning om bosetting;.
Personer;1995;1026;;Faktisk bosetting;.
Personer;1995;1026;;Vedtak om bosetting;.
