Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned,Prosent av arbeidsstyrken i fjor
Troms Romsa,1392.0,1.5,-106.0,-7.0,2019,Desember,1.7
Trøndelag,4391.0,1.8,-126.0,-3.0,2019,Desember,1.9
Ukjent,12.0,,7.0,140.0,2019,Desember,
Vest-Agder,2187.0,2.3,43.0,2.0,2019,Desember,2.3
Vestfold,3337.0,2.6,-188.0,-5.0,2019,Desember,2.8
Østfold,4448.0,3.1,274.0,7.0,2019,Desember,2.9
Øvrige områder,7.0,,0.0,0.0,2019,Desember,
Agder,4010.0,2.6,-76.0,-2.0,2020,Januar,2.7
Innlandet,4033.0,2.1,-142.0,-3.0,2020,Januar,2.2
Landet,68050.0,2.4,-3098.0,-4.0,2020,Januar,2.5
Møre og Romsdal,3015.0,2.2,-491.0,-14.0,2020,Januar,2.5
Nordland,2593.0,2.1,-189.0,-7.0,2020,Januar,2.2
Oslo,10273.0,2.6,-287.0,-3.0,2020,Januar,2.7
Rogaland,6074.0,2.4,-595.0,-9.0,2020,Januar,2.6
Troms og Finnmark,2857.0,2.2,-72.0,-2.0,2020,Januar,2.2
Trøndelag,5145.0,2.1,-232.0,-4.0,2020,Januar,2.2
Ukjent,9.0,,5.0,125.0,2020,Januar,
Vestfold og Telemark,6082.0,2.9,-364.0,-6.0,2020,Januar,3.1
Vestland,7551.0,2.2,-1257.0,-14.0,2020,Januar,2.6
Viken,16401.0,2.6,602.0,4.0,2020,Januar,2.5
Øvrige områder,7.0,,0.0,0.0,2020,Januar,
Agder,3873.0,2.6,9.0,0.0,2020,Februar,2.6
Innlandet,3818.0,2.0,-179.0,-4.0,2020,Februar,2.1
Landet,65416.0,2.3,-2886.0,-4.0,2020,Februar,2.4
Møre og Romsdal,2922.0,2.1,-387.0,-12.0,2020,Februar,2.4
Nordland,2424.0,2.0,-228.0,-9.0,2020,Februar,2.1
Oslo,9885.0,2.5,-433.0,-4.0,2020,Februar,2.7
Rogaland,5793.0,2.3,-593.0,-9.0,2020,Februar,2.5
Troms og Finnmark,2598.0,2.0,-219.0,-8.0,2020,Februar,2.2
Trøndelag,4929.0,2.0,-128.0,-3.0,2020,Februar,2.1
Ukjent,14.0,,6.0,75.0,2020,Februar,
Vestfold og Telemark,5870.0,2.8,-303.0,-5.0,2020,Februar,3.0
Vestland,7324.0,2.2,-1098.0,-13.0,2020,Februar,2.5
Viken,15955.0,2.5,664.0,4.0,2020,Februar,2.4
Øvrige områder,11.0,,3.0,38.0,2020,Februar,
Agder,15560.0,10.3,11884.0,323.0,2020,Mars,2.4
Innlandet,18321.0,9.7,14443.0,372.0,2020,Mars,2.1
Landet,300634.0,10.7,234376.0,354.0,2020,Mars,2.4
Møre og Romsdal,13874.0,10.0,10659.0,332.0,2020,Mars,2.3
Nordland,10515.0,8.5,7894.0,301.0,2020,Mars,2.1
Oslo,53453.0,13.8,43320.0,428.0,2020,Mars,2.6
Rogaland,25055.0,9.9,18923.0,309.0,2020,Mars,2.4
Troms og Finnmark,12604.0,9.6,9873.0,362.0,2020,Mars,2.1
Trøndelag,23710.0,9.6,18752.0,378.0,2020,Mars,2.0
Ukjent,200.0,,195.0,3900.0,2020,Mars,
Vestfold og Telemark,22112.0,10.6,16050.0,265.0,2020,Mars,2.9
Vestland,34274.0,10.2,26406.0,336.0,2020,Mars,2.3
Viken,70721.0,11.1,55754.0,373.0,2020,Mars,2.4
Øvrige områder,235.0,,223.0,1858.0,2020,Mars,
Agder,13424.0,8.9,10078.0,301.0,2020,April,2.2
Innlandet,16070.0,8.5,12294.0,326.0,2020,April,2.0
Landet,269013.0,9.6,205673.0,325.0,2020,April,2.3
Møre og Romsdal,11656.0,8.4,8698.0,294.0,2020,April,2.1
Nordland,9569.0,7.7,7193.0,303.0,2020,April,1.9
Oslo,48733.0,12.5,38767.0,389.0,2020,April,2.6
Rogaland,22658.0,8.9,16684.0,279.0,2020,April,2.4
Troms og Finnmark,11287.0,8.6,8524.0,309.0,2020,April,2.1
Trøndelag,20616.0,8.4,16033.0,350.0,2020,April,1.9
Ukjent,226.0,,221.0,4420.0,2020,April,
Vestfold og Telemark,19720.0,9.5,13983.0,244.0,2020,April,2.8
Vestland,31352.0,9.3,23919.0,322.0,2020,April,2.2
Viken,63431.0,10.0,49018.0,340.0,2020,April,2.3
Øvrige områder,271.0,,261.0,2610.0,2020,April,
Agder,9034.0,5.9,5851.0,184.0,2020,Mai,2.1
Innlandet,10100.0,5.4,6626.0,191.0,2020,Mai,1.8
Landet,181469.0,6.4,121656.0,203.0,2020,Mai,2.1
Møre og Romsdal,7502.0,5.4,4746.0,172.0,2020,Mai,2.0
Nordland,6044.0,4.9,3759.0,165.0,2020,Mai,1.8
Oslo,34121.0,8.6,24548.0,256.0,2020,Mai,2.5
Rogaland,15833.0,6.2,10181.0,180.0,2020,Mai,2.2
Troms og Finnmark,7577.0,5.8,5052.0,200.0,2020,Mai,1.9
Trøndelag,12998.0,5.2,8763.0,207.0,2020,Mai,1.7
Ukjent,148.0,,,,2020,Mai,
Vestfold og Telemark,13375.0,6.4,8015.0,150.0,2020,Mai,2.6
Vestland,20677.0,6.1,13703.0,196.0,2020,Mai,2.1
Viken,43831.0,6.8,30046.0,218.0,2020,Mai,2.2
Øvrige områder,229.0,,221.0,2763.0,2020,Mai,
Agder,6683.0,4.4,3358.0,101.0,2020,Juni,2.2
Innlandet,7062.0,3.8,3668.0,108.0,2020,Juni,1.8
Landet,135988.0,4.8,75895.0,126.0,2020,Juni,2.1
Møre og Romsdal,5639.0,4.1,2922.0,108.0,2020,Juni,2.0
Nordland,4173.0,3.4,1966.0,89.0,2020,Juni,1.8
Oslo,25670.0,6.5,15985.0,165.0,2020,Juni,2.5
Rogaland,12218.0,4.8,6525.0,115.0,2020,Juni,2.2
Troms og Finnmark,5392.0,4.1,2903.0,117.0,2020,Juni,1.9
Trøndelag,9423.0,3.8,5073.0,117.0,2020,Juni,1.8
Ukjent,61.0,,56.0,1120.0,2020,Juni,
Vestfold og Telemark,10010.0,4.8,4620.0,86.0,2020,Juni,2.6
Vestland,15572.0,4.6,8727.0,127.0,2020,Juni,2.0
Viken,33947.0,5.3,19959.0,143.0,2020,Juni,2.2
Øvrige områder,138.0,,133.0,2660.0,2020,Juni,
Agder,7197.0,4.7,3370.0,88.0,2020,Juli,2.5
Innlandet,7225.0,3.8,3526.0,95.0,2020,Juli,2.0
Landet,139838.0,4.9,73501.0,111.0,2020,Juli,2.4
Møre og Romsdal,5878.0,4.2,2859.0,95.0,2020,Juli,2.2
Nordland,3980.0,3.2,1629.0,69.0,2020,Juli,1.9
Oslo,26430.0,6.7,15692.0,146.0,2020,Juli,2.8
Rogaland,12467.0,4.9,6332.0,103.0,2020,Juli,2.4
Troms og Finnmark,5211.0,4.0,2455.0,89.0,2020,Juli,2.1
Trøndelag,9638.0,3.9,4772.0,98.0,2020,Juli,2.0
Ukjent,26.0,,17.0,189.0,2020,Juli,
Vestfold og Telemark,10401.0,5.0,4558.0,78.0,2020,Juli,2.8
Vestland,15909.0,4.7,8302.0,109.0,2020,Juli,2.3
Viken,35381.0,5.5,19900.0,129.0,2020,Juli,2.4
Øvrige områder,95.0,,89.0,1483.0,2020,Juli,
Agder,6354.0,4.2,2571.0,68.0,2020,August,2.5
Innlandet,6247.0,3.3,2650.0,74.0,2020,August,1.9
Landet,122229.0,4.3,57168.0,88.0,2020,August,2.3
Møre og Romsdal,5194.0,3.7,2138.0,70.0,2020,August,2.2
Nordland,3735.0,3.0,1464.0,64.0,2020,August,1.8
Oslo,22637.0,5.7,12210.0,117.0,2020,August,2.7
Rogaland,11419.0,4.5,5408.0,90.0,2020,August,2.4
Troms og Finnmark,4537.0,3.5,1901.0,72.0,2020,August,2.0
Trøndelag,8370.0,3.4,3573.0,74.0,2020,August,1.9
Ukjent,26.0,,17.0,189.0,2020,August,
Vestfold og Telemark,9160.0,4.4,3413.0,59.0,2020,August,2.8
Vestland,13926.0,4.1,6474.0,87.0,2020,August,2.2
Viken,30541.0,4.7,15275.0,100.0,2020,August,2.4
Øvrige områder,83.0,,74.0,822.0,2020,August,
Agder,5303.0,3.5,1708.0,48.0,2020,September,2.4
Innlandet,5228.0,2.8,1761.0,51.0,2020,September,1.8
Landet,105289.0,3.7,43975.0,72.0,2020,September,2.2
Møre og Romsdal,4331.0,3.1,1555.0,56.0,2020,September,2.0
Nordland,3280.0,2.6,1192.0,57.0,2020,September,1.7
Oslo,19572.0,4.9,9752.0,99.0,2020,September,2.5
Rogaland,9759.0,3.8,4115.0,73.0,2020,September,2.2
Troms og Finnmark,3745.0,2.9,1304.0,53.0,2020,September,1.9
Trøndelag,6879.0,2.8,2361.0,52.0,2020,September,1.8
Ukjent,19.0,,12.0,171.0,2020,September,
Vestfold og Telemark,8101.0,3.9,2644.0,48.0,2020,September,2.6
Vestland,12189.0,3.6,5175.0,74.0,2020,September,2.1
Viken,26818.0,4.2,12339.0,85.0,2020,September,2.3
Øvrige områder,65.0,,57.0,713.0,2020,September,
Agder,4990.0,3.3,1501.0,43.0,2020,Oktober,2.3
Innlandet,5076.0,2.7,1680.0,49.0,2020,Oktober,1.8
Landet,99412.0,3.5,39863.0,67.0,2020,Oktober,2.1
Møre og Romsdal,4059.0,2.9,1461.0,56.0,2020,Oktober,1.9
Nordland,3135.0,2.5,912.0,41.0,2020,Oktober,1.8
Oslo,18541.0,4.7,9067.0,96.0,2020,Oktober,2.4
Rogaland,9160.0,3.6,3652.0,66.0,2020,Oktober,2.2
Troms og Finnmark,3473.0,2.7,1133.0,48.0,2020,Oktober,1.8
Trøndelag,6442.0,2.6,2180.0,51.0,2020,Oktober,1.7
Ukjent,17.0,,11.0,183.0,2020,Oktober,
Vestfold og Telemark,7638.0,3.6,2422.0,46.0,2020,Oktober,2.5
Vestland,11477.0,3.4,4896.0,74.0,2020,Oktober,2.0
Viken,25332.0,3.9,10883.0,75.0,2020,Oktober,2.3
Øvrige områder,72.0,,65.0,929.0,2020,Oktober,
Agder,5079.0,3.3,1510.0,42.0,2020,November,2.4
Innlandet,5564.0,3.0,2051.0,58.0,2020,November,1.9
Landet,108989.0,3.9,49532.0,83.0,2020,November,2.1
Møre og Romsdal,4139.0,3.0,1531.0,59.0,2020,November,1.9
Nordland,3295.0,2.6,988.0,43.0,2020,November,1.9
Oslo,22920.0,5.8,13553.0,145.0,2020,November,2.4
Rogaland,9331.0,3.6,3911.0,72.0,2020,November,2.1
Troms og Finnmark,3800.0,2.9,1476.0,64.0,2020,November,1.8
Trøndelag,6715.0,2.7,2416.0,56.0,2020,November,1.7
Ukjent,30.0,,20.0,200.0,2020,November,
Vestfold og Telemark,7894.0,3.8,2752.0,54.0,2020,November,2.5
Vestland,12712.0,3.7,6083.0,92.0,2020,November,2.0
Viken,27433.0,4.3,13170.0,92.0,2020,November,2.2
Øvrige områder,77.0,,71.0,1183.0,2020,November,
Agder,4850.0,3.2,1292.0,36.0,2020,Desember,2.3
Innlandet,5408.0,2.9,1821.0,51.0,2020,Desember,1.9
Landet,106941.0,3.8,46205.0,76.0,2020,Desember,2.2
Møre og Romsdal,4093.0,2.9,1388.0,51.0,2020,Desember,2.0
Nordland,3235.0,2.6,854.0,36.0,2020,Desember,1.9
Oslo,22790.0,5.7,13332.0,141.0,2020,Desember,2.4
Rogaland,8965.0,3.5,3452.0,63.0,2020,Desember,2.2
Troms og Finnmark,3658.0,2.8,1175.0,47.0,2020,Desember,1.9
Trøndelag,6572.0,2.6,2162.0,49.0,2020,Desember,1.8
Ukjent,19.0,,7.0,58.0,2020,Desember,
Vestfold og Telemark,7755.0,3.7,2468.0,47.0,2020,Desember,2.5
Vestland,12317.0,3.6,5545.0,82.0,2020,Desember,2.0
Viken,27206.0,4.2,12643.0,87.0,2020,Desember,2.3
Øvrige områder,73.0,,66.0,943.0,2020,Desember,
Agder,5983.0,3.9,1973.0,49.0,2021,Januar,2.6
Innlandet,6209.0,3.3,2176.0,54.0,2021,Januar,2.1
Landet,123969.0,4.4,55919.0,82.0,2021,Januar,2.4
Møre og Romsdal,4653.0,3.4,1638.0,54.0,2021,Januar,2.2
Nordland,3738.0,3.0,1145.0,44.0,2021,Januar,2.1
Oslo,25524.0,6.4,15251.0,148.0,2021,Januar,2.6
Rogaland,10480.0,4.1,4406.0,73.0,2021,Januar,2.4
Troms og Finnmark,4352.0,3.3,1495.0,52.0,2021,Januar,2.2
Trøndelag,8768.0,3.5,3623.0,70.0,2021,Januar,2.1
Ukjent,16.0,,7.0,78.0,2021,Januar,
Vestfold og Telemark,9332.0,4.5,3250.0,53.0,2021,Januar,2.9
Vestland,13396.0,3.9,5845.0,77.0,2021,Januar,2.2
Viken,31436.0,4.9,15035.0,92.0,2021,Januar,2.5
Øvrige områder,82.0,,75.0,1071.0,2021,Januar,
Agder,5458.0,3.6,1585.0,41.0,2021,Februar,2.5
Innlandet,5730.0,3.0,1912.0,50.0,2021,Februar,2.0
Landet,120504.0,4.3,55088.0,84.0,2021,Februar,2.3
Møre og Romsdal,4175.0,3.0,1253.0,43.0,2021,Februar,2.1
Nordland,3433.0,2.8,1009.0,42.0,2021,Februar,1.9
Oslo,25515.0,6.4,15630.0,158.0,2021,Februar,2.5
Rogaland,9678.0,3.8,3885.0,67.0,2021,Februar,2.3
Troms og Finnmark,3778.0,2.9,1180.0,45.0,2021,Februar,2.0
Trøndelag,7762.0,3.1,2833.0,57.0,2021,Februar,2.0
Ukjent,15.0,,1.0,7.0,2021,Februar,
Vestfold og Telemark,8915.0,4.3,3045.0,52.0,2021,Februar,2.8
Vestland,14699.0,4.3,7375.0,101.0,2021,Februar,2.2
Viken,31278.0,4.9,15323.0,96.0,2021,Februar,2.5
Øvrige områder,68.0,,57.0,518.0,2021,Februar,
Agder,5427.0,3.6,-10133.0,-65.0,2021,Mars,10.2
Innlandet,5403.0,2.9,-12918.0,-71.0,2021,Mars,9.7
Landet,119331.0,4.2,-181303.0,-60.0,2021,Mars,10.6
Møre og Romsdal,3951.0,2.8,-9923.0,-72.0,2021,Mars,10.0
Nordland,3722.0,3.0,-6793.0,-65.0,2021,Mars,8.5
Oslo,25598.0,6.4,-27855.0,-52.0,2021,Mars,13.5
Rogaland,9560.0,3.7,-15495.0,-62.0,2021,Mars,9.8
Troms og Finnmark,3647.0,2.8,-8957.0,-71.0,2021,Mars,9.6
Trøndelag,7322.0,2.9,-16388.0,-69.0,2021,Mars,9.5
Ukjent,16.0,,-184.0,-92.0,2021,Mars,
Vestfold og Telemark,10312.0,4.9,-11800.0,-53.0,2021,Mars,10.6
Vestland,11963.0,3.5,-22311.0,-65.0,2021,Mars,10.1
Viken,32360.0,5.0,-38361.0,-54.0,2021,Mars,11.0
Øvrige områder,50.0,,-185.0,-79.0,2021,Mars,
Agder,4832.0,3.2,-8592.0,-64.0,2021,April,8.8
Innlandet,5251.0,2.8,-10819.0,-67.0,2021,April,8.5
Landet,113259.0,4.0,-155754.0,-58.0,2021,April,9.5
Møre og Romsdal,3921.0,2.8,-7735.0,-66.0,2021,April,8.4
Nordland,3238.0,2.6,-6331.0,-66.0,2021,April,7.7
Oslo,24726.0,6.2,-24007.0,-49.0,2021,April,12.3
Rogaland,8715.0,3.4,-13943.0,-62.0,2021,April,8.9
Troms og Finnmark,3614.0,2.8,-7673.0,-68.0,2021,April,8.6
Trøndelag,6814.0,2.7,-13802.0,-67.0,2021,April,8.3
Ukjent,14.0,,-212.0,-94.0,2021,April,
Vestfold og Telemark,8813.0,4.2,-10907.0,-55.0,2021,April,9.4
Vestland,11530.0,3.4,-19822.0,-63.0,2021,April,9.2
Viken,31738.0,4.9,-31693.0,-50.0,2021,April,9.8
Øvrige områder,53.0,,-218.0,-80.0,2021,April,
Agder,4148.0,2.7,-4886.0,-54.0,2021,Mai,5.9
Innlandet,4552.0,2.4,-5548.0,-55.0,2021,Mai,5.4
Landet,94086.0,3.3,-87383.0,-48.0,2021,Mai,6.4
Møre og Romsdal,3552.0,2.6,-3950.0,-53.0,2021,Mai,5.4
Nordland,2688.0,2.2,-3356.0,-56.0,2021,Mai,4.9
Oslo,20810.0,5.2,-13311.0,-39.0,2021,Mai,8.6
Rogaland,7387.0,2.9,-8446.0,-53.0,2021,Mai,6.2
Troms og Finnmark,3096.0,2.4,-4481.0,-59.0,2021,Mai,5.8
Trøndelag,5622.0,2.3,-7376.0,-57.0,2021,Mai,5.2
Ukjent,10.0,,-138.0,-93.0,2021,Mai,
Vestfold og Telemark,7275.0,3.5,-6100.0,-46.0,2021,Mai,6.4
Vestland,9925.0,2.9,-10752.0,-52.0,2021,Mai,6.1
Viken,24979.0,3.9,-18852.0,-43.0,2021,Mai,6.8
Øvrige områder,42.0,,-187.0,-82.0,2021,Mai,
Agder,3859.0,2.5,-2824.0,-42.0,2021,Juni,4.4
Innlandet,3850.0,2.0,-3212.0,-45.0,2021,Juni,3.8
Landet,81316.0,2.9,-54672.0,-40.0,2021,Juni,4.8
Møre og Romsdal,3283.0,2.4,-2356.0,-42.0,2021,Juni,4.1
Nordland,2392.0,1.9,-1781.0,-43.0,2021,Juni,3.4
Oslo,15793.0,4.0,-9877.0,-38.0,2021,Juni,6.5
Rogaland,6760.0,2.6,-5458.0,-45.0,2021,Juni,4.8
Troms og Finnmark,2748.0,2.1,-2644.0,-49.0,2021,Juni,4.1
Trøndelag,5476.0,2.2,-3947.0,-42.0,2021,Juni,3.8
Ukjent,8.0,,-53.0,-87.0,2021,Juni,
Vestfold og Telemark,6430.0,3.1,-3580.0,-36.0,2021,Juni,4.8
Vestland,9228.0,2.7,-6344.0,-41.0,2021,Juni,4.6
Viken,21446.0,3.3,-12501.0,-37.0,2021,Juni,5.3
Øvrige områder,43.0,,-95.0,-69.0,2021,Juni,
Agder,4125.0,2.7,-3072.0,-43.0,2021,Juli,4.7
Innlandet,4144.0,2.2,-3081.0,-43.0,2021,Juli,3.8
Landet,86774.0,3.1,-53064.0,-38.0,2021,Juli,4.9
Møre og Romsdal,3512.0,2.5,-2366.0,-40.0,2021,Juli,4.2
Nordland,2472.0,2.0,-1508.0,-38.0,2021,Juli,3.2
Oslo,16854.0,4.2,-9576.0,-36.0,2021,Juli,6.7
Rogaland,7362.0,2.9,-5105.0,-41.0,2021,Juli,4.9
Troms og Finnmark,2981.0,2.3,-2230.0,-43.0,2021,Juli,4.0
Trøndelag,5672.0,2.3,-3966.0,-41.0,2021,Juli,3.9
Ukjent,9.0,,-17.0,-65.0,2021,Juli,
Vestfold og Telemark,6748.0,3.2,-3653.0,-35.0,2021,Juli,5.0
Vestland,9894.0,2.9,-6015.0,-38.0,2021,Juli,4.7
Viken,22950.0,3.6,-12431.0,-35.0,2021,Juli,5.5
Øvrige områder,51.0,,-44.0,-46.0,2021,Juli,
Agder,3717.0,2.4,-2637.0,-42.0,2021,August,4.2
Innlandet,3806.0,2.0,-2441.0,-39.0,2021,August,3.3
Landet,75806.0,2.7,-46423.0,-38.0,2021,August,4.3
Møre og Romsdal,3172.0,2.3,-2022.0,-39.0,2021,August,3.7
Nordland,2381.0,1.9,-1354.0,-36.0,2021,August,3.0
Oslo,13742.0,3.5,-8895.0,-39.0,2021,August,5.7
Rogaland,6719.0,2.6,-4700.0,-41.0,2021,August,4.5
Troms og Finnmark,2610.0,2.0,-1927.0,-42.0,2021,August,3.5
Trøndelag,5089.0,2.0,-3281.0,-39.0,2021,August,3.4
Ukjent,12.0,,-14.0,-54.0,2021,August,
Vestfold og Telemark,6051.0,2.9,-3109.0,-34.0,2021,August,4.4
Vestland,8619.0,2.5,-5307.0,-38.0,2021,August,4.1
Viken,19852.0,3.1,-10689.0,-35.0,2021,August,4.7
Øvrige områder,36.0,,-47.0,-57.0,2021,August,
Agder,3422.0,2.2,-1881.0,-35.0,2021,September,3.5
Innlandet,3301.0,1.8,-1927.0,-37.0,2021,September,2.8
Landet,67624.0,2.4,-37665.0,-36.0,2021,September,3.7
Møre og Romsdal,2824.0,2.0,-1507.0,-35.0,2021,September,3.1
Nordland,2148.0,1.7,-1132.0,-35.0,2021,September,2.6
Oslo,12242.0,3.1,-7330.0,-37.0,2021,September,4.9
Rogaland,6066.0,2.4,-3693.0,-38.0,2021,September,3.8
Troms og Finnmark,2251.0,1.7,-1494.0,-40.0,2021,September,2.9
Trøndelag,4449.0,1.8,-2430.0,-35.0,2021,September,2.8
Ukjent,24.0,,5.0,26.0,2021,September,
Vestfold og Telemark,5623.0,2.7,-2478.0,-31.0,2021,September,3.9
Vestland,7717.0,2.3,-4472.0,-37.0,2021,September,3.6
Viken,17526.0,2.7,-9292.0,-35.0,2021,September,4.2
Øvrige områder,31.0,,-34.0,-52.0,2021,September,
Agder,3226.0,2.1,-1764.0,-35.0,2021,Oktober,3.3
Innlandet,3120.0,1.7,-1956.0,-39.0,2021,Oktober,2.7
Landet,63298.0,2.2,-36114.0,-36.0,2021,Oktober,3.5
Møre og Romsdal,2732.0,2.0,-1327.0,-33.0,2021,Oktober,2.9
Nordland,2092.0,1.7,-1043.0,-33.0,2021,Oktober,2.5
Oslo,11259.0,2.8,-7282.0,-39.0,2021,Oktober,4.7
Rogaland,5660.0,2.2,-3500.0,-38.0,2021,Oktober,3.6
Troms og Finnmark,2134.0,1.6,-1339.0,-39.0,2021,Oktober,2.7
Trøndelag,4163.0,1.7,-2279.0,-35.0,2021,Oktober,2.6
Ukjent,16.0,,-1.0,-6.0,2021,Oktober,
Vestfold og Telemark,5299.0,2.5,-2339.0,-31.0,2021,Oktober,3.6
Vestland,7266.0,2.1,-4211.0,-37.0,2021,Oktober,3.4
Viken,16310.0,2.5,-9022.0,-36.0,2021,Oktober,3.9
Øvrige områder,21.0,,-51.0,-71.0,2021,Oktober,
Agder,2980.0,2.0,-2099.0,-41.0,2021,November,3.3
Innlandet,3102.0,1.6,-2462.0,-44.0,2021,November,3.0
Landet,59341.0,2.1,-49648.0,-46.0,2021,November,3.9
Møre og Romsdal,2695.0,1.9,-1444.0,-35.0,2021,November,3.0
Nordland,2038.0,1.6,-1257.0,-38.0,2021,November,2.6
Oslo,10420.0,2.6,-12500.0,-55.0,2021,November,5.8
Rogaland,5132.0,2.0,-4199.0,-45.0,2021,November,3.6
Troms og Finnmark,2093.0,1.6,-1707.0,-45.0,2021,November,2.9
Trøndelag,3856.0,1.5,-2859.0,-43.0,2021,November,2.7
Ukjent,8.0,,-22.0,-73.0,2021,November,
Vestfold og Telemark,4988.0,2.4,-2906.0,-37.0,2021,November,3.8
Vestland,6838.0,2.0,-5874.0,-46.0,2021,November,3.7
Viken,15166.0,2.4,-12267.0,-45.0,2021,November,4.3
Øvrige områder,25.0,,-52.0,-68.0,2021,November,
Agder,3061.0,2.0,-1789.0,-37.0,2021,Desember,3.2
Innlandet,3173.0,1.7,-2235.0,-41.0,2021,Desember,2.9
Landet,61036.0,2.2,-45905.0,-43.0,2021,Desember,3.8
Møre og Romsdal,2717.0,2.0,-1376.0,-34.0,2021,Desember,2.9
Nordland,2081.0,1.7,-1154.0,-36.0,2021,Desember,2.6
Oslo,10723.0,2.7,-12067.0,-53.0,2021,Desember,5.7
Rogaland,5127.0,2.0,-3838.0,-43.0,2021,Desember,3.5
Troms og Finnmark,2211.0,1.7,-1447.0,-40.0,2021,Desember,2.8
Trøndelag,3950.0,1.6,-2622.0,-40.0,2021,Desember,2.6
Ukjent,15.0,,-4.0,-21.0,2021,Desember,
Vestfold og Telemark,5097.0,2.4,-2658.0,-34.0,2021,Desember,3.7
Vestland,6994.0,2.1,-5323.0,-43.0,2021,Desember,3.6
Viken,15862.0,2.5,-11344.0,-42.0,2021,Desember,4.2
Øvrige områder,25.0,,-48.0,-66.0,2021,Desember,
Agder,3871.0,2.6,-2112.0,-35.0,2022,Januar,4.0
Innlandet,3881.0,2.1,-2328.0,-37.0,2022,Januar,3.4
Landet,74143.0,2.6,-49826.0,-40.0,2022,Januar,4.4
Møre og Romsdal,3169.0,2.4,-1484.0,-32.0,2022,Januar,3.5
Nordland,2523.0,2.1,-1215.0,-33.0,2022,Januar,3.1
Oslo,13613.0,3.5,-11911.0,-47.0,2022,Januar,6.6
Rogaland,6146.0,2.5,-4334.0,-41.0,2022,Januar,4.2
Troms og Finnmark,2699.0,2.1,-1653.0,-38.0,2022,Januar,3.5
Trøndelag,5044.0,2.1,-3724.0,-42.0,2022,Januar,3.6
Ukjent,9.0,,-7.0,-44.0,2022,Januar,
Vestfold og Telemark,6290.0,3.1,-3042.0,-33.0,2022,Januar,4.6
Vestland,8253.0,2.5,-5143.0,-38.0,2022,Januar,4.1
Viken,18615.0,2.9,-12821.0,-41.0,2022,Januar,5.0
Øvrige områder,30.0,,-52.0,-63.0,2022,Januar,
Agder,3295.0,2.2,-2163.0,-40.0,2022,Februar,3.7
Innlandet,3428.0,1.9,-2302.0,-40.0,2022,Februar,3.2
Landet,64439.0,2.3,-56065.0,-47.0,2022,Februar,4.3
Møre og Romsdal,2791.0,2.1,-1384.0,-33.0,2022,Februar,3.1
Nordland,2062.0,1.7,-1371.0,-40.0,2022,Februar,2.9
Oslo,11205.0,2.9,-14310.0,-56.0,2022,Februar,6.6
Rogaland,5290.0,2.1,-4388.0,-45.0,2022,Februar,3.9
Troms og Finnmark,2351.0,1.9,-1427.0,-38.0,2022,Februar,3.0
Trøndelag,4363.0,1.8,-3399.0,-44.0,2022,Februar,3.2
Ukjent,10.0,,-5.0,-33.0,2022,Februar,
Vestfold og Telemark,5718.0,2.8,-3197.0,-36.0,2022,Februar,4.4
Vestland,7372.0,2.2,-7327.0,-50.0,2022,Februar,4.5
Viken,16533.0,2.6,-14745.0,-47.0,2022,Februar,4.9
Øvrige områder,21.0,,-47.0,-69.0,2022,Februar,
Agder,2875.0,1.9,-2552.0,-47.0,2022,Mars,3.6
Innlandet,3144.0,1.7,-2259.0,-42.0,2022,Mars,3.0
Landet,58368.0,2.0,-60963.0,-51.0,2022,Mars,4.2
Møre og Romsdal,2519.0,1.8,-1432.0,-36.0,2022,Mars,2.9
Nordland,1837.0,1.5,-1885.0,-51.0,2022,Mars,3.1
Oslo,10135.0,2.5,-15463.0,-60.0,2022,Mars,6.6
Rogaland,4853.0,1.9,-4707.0,-49.0,2022,Mars,3.9
Troms og Finnmark,2145.0,1.7,-1502.0,-41.0,2022,Mars,2.9
Trøndelag,3838.0,1.5,-3484.0,-48.0,2022,Mars,3.0
Ukjent,29.0,,13.0,81.0,2022,Mars,
Vestfold og Telemark,5144.0,2.5,-5168.0,-50.0,2022,Mars,5.1
Vestland,6505.0,1.9,-5458.0,-46.0,2022,Mars,3.6
Viken,15334.0,2.3,-17026.0,-53.0,2022,Mars,5.1
Øvrige områder,10.0,,-40.0,-80.0,2022,Mars,
Agder,2608.0,1.7,-2224.0,-46.0,2022,April,3.2
Innlandet,2908.0,1.6,-2343.0,-45.0,2022,April,2.9
Landet,53785.0,1.9,-59474.0,-53.0,2022,April,4.0
Møre og Romsdal,2396.0,1.7,-1525.0,-39.0,2022,April,2.9
Nordland,1691.0,1.4,-1547.0,-48.0,2022,April,2.7
Oslo,9299.0,2.3,-15427.0,-62.0,2022,April,6.4
Rogaland,4485.0,1.8,-4230.0,-49.0,2022,April,3.5
Troms og Finnmark,2029.0,1.6,-1585.0,-44.0,2022,April,2.9
Trøndelag,3491.0,1.4,-3323.0,-49.0,2022,April,2.8
Ukjent,33.0,,19.0,136.0,2022,April,
Vestfold og Telemark,4673.0,2.2,-4140.0,-47.0,2022,April,4.3
Vestland,6114.0,1.8,-5416.0,-47.0,2022,April,3.5
Viken,14048.0,2.2,-17690.0,-56.0,2022,April,5.0
Øvrige områder,10.0,,-43.0,-81.0,2022,April,
Agder,2347.0,1.5,-1801.0,-43.0,2022,Mai,2.8
