Kommune,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortKommune
Hele landet,2016-01-01,Menn,45-64 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",24.0,2,9,2
Hele landet,2016-01-01,Menn,45-64 år,Personskader (S00-T78),"per 1000, standardisert",12.2,2,9,2
Hele landet,2016-01-01,Menn,45-64 år,Hodeskader (S00-S09),"per 1000, standardisert",2.1,2,9,2
Hele landet,2016-01-01,Menn,45-64 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.6,2,9,2
Hele landet,2016-01-01,Menn,45-64 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.7,2,9,2
Hele landet,2016-01-01,Menn,65-74 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",59.5,2,10,2
Hele landet,2016-01-01,Menn,65-74 år,KOLS (J44),"per 1000, standardisert",5.1,2,10,2
Hele landet,2016-01-01,Menn,65-74 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",31.7,2,10,2
Hele landet,2016-01-01,Menn,65-74 år,Personskader (S00-T78),"per 1000, standardisert",15.3,2,10,2
Hele landet,2016-01-01,Menn,65-74 år,Hodeskader (S00-S09),"per 1000, standardisert",3.1,2,10,2
Hele landet,2016-01-01,Menn,65-74 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.2,2,10,2
Hele landet,2016-01-01,Menn,65-74 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.6,2,10,2
Hele landet,2016-01-01,Menn,75 år+,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",99.6,2,11,2
Hele landet,2016-01-01,Menn,75 år+,KOLS (J44),"per 1000, standardisert",9.8,2,11,2
Hele landet,2016-01-01,Menn,75 år+,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",30.5,2,11,2
Hele landet,2016-01-01,Menn,75 år+,Personskader (S00-T78),"per 1000, standardisert",32.7,2,11,2
Hele landet,2016-01-01,Menn,75 år+,Hodeskader (S00-S09),"per 1000, standardisert",6.6,2,11,2
Hele landet,2016-01-01,Menn,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",11.4,2,11,2
Hele landet,2016-01-01,Menn,75 år+,Forgiftninger (T36-T65),"per 1000, standardisert",1.1,2,11,2
Hele landet,2016-01-01,Menn,75-79 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",83.9,2,12,2
Hele landet,2016-01-01,Menn,75-79 år,KOLS (J44),"per 1000, standardisert",8.6,2,12,2
Hele landet,2016-01-01,Menn,75-79 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",33.7,2,12,2
Hele landet,2016-01-01,Menn,75-79 år,Personskader (S00-T78),"per 1000, standardisert",21.6,2,12,2
Hele landet,2016-01-01,Menn,75-79 år,Hodeskader (S00-S09),"per 1000, standardisert",4.6,2,12,2
Hele landet,2016-01-01,Menn,75-79 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",5.5,2,12,2
Hele landet,2016-01-01,Menn,75-79 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.8,2,12,2
Hele landet,2016-01-01,Menn,80 år+,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",113.7,2,13,2
Hele landet,2016-01-01,Menn,80 år+,KOLS (J44),"per 1000, standardisert",10.9,2,13,2
Hele landet,2016-01-01,Menn,80 år+,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",27.8,2,13,2
Hele landet,2016-01-01,Menn,80 år+,Personskader (S00-T78),"per 1000, standardisert",42.8,2,13,2
Hele landet,2016-01-01,Menn,80 år+,Hodeskader (S00-S09),"per 1000, standardisert",8.4,2,13,2
Hele landet,2016-01-01,Menn,80 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",16.6,2,13,2
Hele landet,2016-01-01,Menn,80 år+,Forgiftninger (T36-T65),"per 1000, standardisert",1.3,2,13,2
Hele landet,2016-01-01,Kvinner,Alle aldre,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",16.3,3,1,2
Hele landet,2016-01-01,Kvinner,Alle aldre,KOLS (J44),"per 1000, standardisert",1.8,3,1,2
Hele landet,2016-01-01,Kvinner,Alle aldre,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",20.7,3,1,2
Hele landet,2016-01-01,Kvinner,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.9,3,1,2
Hele landet,2016-01-01,Kvinner,Alle aldre,Hodeskader (S00-S09),"per 1000, standardisert",1.9,3,1,2
Hele landet,2016-01-01,Kvinner,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.6,3,1,2
Hele landet,2016-01-01,Kvinner,Alle aldre,Forgiftninger (T36-T65),"per 1000, standardisert",1.0,3,1,2
Hele landet,2016-01-01,Kvinner,0-74 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",9.3,3,2,2
Hele landet,2016-01-01,Kvinner,0-74 år,KOLS (J44),"per 1000, standardisert",1.0,3,2,2
Hele landet,2016-01-01,Kvinner,0-74 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",18.4,3,2,2
Hele landet,2016-01-01,Kvinner,0-74 år,Personskader (S00-T78),"per 1000, standardisert",9.6,3,2,2
Hele landet,2016-01-01,Kvinner,0-74 år,Hodeskader (S00-S09),"per 1000, standardisert",1.4,3,2,2
Hele landet,2016-01-01,Kvinner,0-74 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.6,3,2,2
Hele landet,2016-01-01,Kvinner,0-74 år,Forgiftninger (T36-T65),"per 1000, standardisert",1.0,3,2,2
Hele landet,2016-01-01,Kvinner,0-44 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",2.7,3,3,2
Hele landet,2016-01-01,Kvinner,0-44 år,KOLS (J44),"per 1000, standardisert",0.0,3,3,2
Hele landet,2016-01-01,Kvinner,0-44 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",9.4,3,3,2
Hele landet,2016-01-01,Kvinner,0-44 år,Personskader (S00-T78),"per 1000, standardisert",7.2,3,3,2
Hele landet,2016-01-01,Kvinner,0-44 år,Hodeskader (S00-S09),"per 1000, standardisert",1.5,3,3,2
Hele landet,2016-01-01,Kvinner,0-44 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.0,3,3,2
Hele landet,2016-01-01,Kvinner,0-44 år,Forgiftninger (T36-T65),"per 1000, standardisert",1.2,3,3,2
Hele landet,2016-01-01,Kvinner,0-24 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",1.0,3,4,2
Hele landet,2016-01-01,Kvinner,0-24 år,KOLS (J44),"per 1000, standardisert",0.0,3,4,2
Hele landet,2016-01-01,Kvinner,0-24 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",5.7,3,4,2
Hele landet,2016-01-01,Kvinner,0-24 år,Personskader (S00-T78),"per 1000, standardisert",8.5,3,4,2
Hele landet,2016-01-01,Kvinner,0-24 år,Hodeskader (S00-S09),"per 1000, standardisert",2.0,3,4,2
Hele landet,2016-01-01,Kvinner,0-24 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.0,3,4,2
Hele landet,2016-01-01,Kvinner,0-24 år,Forgiftninger (T36-T65),"per 1000, standardisert",1.4,3,4,2
Hele landet,2016-01-01,Kvinner,0-14 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",0.5,3,5,2
Hele landet,2016-01-01,Kvinner,0-14 år,KOLS (J44),"per 1000, standardisert",,3,5,2
Hele landet,2016-01-01,Kvinner,0-14 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",2.8,3,5,2
Hele landet,2016-01-01,Kvinner,0-14 år,Personskader (S00-T78),"per 1000, standardisert",7.3,3,5,2
Hele landet,2016-01-01,Kvinner,0-14 år,Hodeskader (S00-S09),"per 1000, standardisert",2.0,3,5,2
Hele landet,2016-01-01,Kvinner,0-14 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",,3,5,2
Hele landet,2016-01-01,Kvinner,0-14 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.3,3,5,2
Hele landet,2016-01-01,Kvinner,15-24 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",1.6,3,6,2
