Dato,Nivå,Geografisk enhet,Yrke,Antall søkere,Antall utlyste stillinger
2025-06-01,Telemark kommuner,Fyresdal,Ingen yrkesbakgrunn eller uoppgitt,5.0,
2025-06-01,Telemark kommuner,Fyresdal,Ingeniør- og ikt-fag,,1.0
2025-06-01,Telemark kommuner,Fyresdal,"Jordbruk, skogbruk og fiske",1.0,
2025-06-01,Telemark kommuner,Fyresdal,Reiseliv og transport,1.0,
2025-06-01,Telemark kommuner,Fyresdal,Serviceyrker og annet arbeid,2.0,1.0
2025-06-01,Telemark kommuner,Fyresdal,Undervisning,,1.0
2025-06-01,Telemark kommuner,Hjartdal,Akademiske yrker,1.0,
2025-06-01,Telemark kommuner,Hjartdal,Barne- og ungdomsarbeid,1.0,
2025-06-01,Telemark kommuner,Hjartdal,Butikk- og salgsarbeid,2.0,
2025-06-01,Telemark kommuner,Hjartdal,Bygg og anlegg,3.0,
2025-06-01,Telemark kommuner,Hjartdal,"Helse, pleie og omsorg",4.0,
2025-06-01,Telemark kommuner,Hjartdal,Industriarbeid,1.0,
2025-06-01,Telemark kommuner,Hjartdal,Ingen yrkesbakgrunn eller uoppgitt,8.0,
2025-06-01,Telemark kommuner,Hjartdal,Ingeniør- og ikt-fag,1.0,
2025-06-01,Telemark kommuner,Hjartdal,Kontorarbeid,2.0,
2025-06-01,Telemark kommuner,Hjartdal,Meglere og konsulenter,1.0,
2025-06-01,Telemark kommuner,Hjartdal,Reiseliv og transport,2.0,
2025-06-01,Telemark kommuner,Hjartdal,Serviceyrker og annet arbeid,4.0,
2025-06-01,Telemark kommuner,Hjartdal,Undervisning,1.0,
2025-06-01,Telemark kommuner,Kragerø,Akademiske yrker,4.0,
2025-06-01,Telemark kommuner,Kragerø,Barne- og ungdomsarbeid,7.0,2.0
2025-06-01,Telemark kommuner,Kragerø,Butikk- og salgsarbeid,13.0,5.0
2025-06-01,Telemark kommuner,Kragerø,Bygg og anlegg,9.0,1.0
2025-06-01,Telemark kommuner,Kragerø,"Helse, pleie og omsorg",10.0,10.0
2025-06-01,Telemark kommuner,Kragerø,Industriarbeid,23.0,4.0
2025-06-01,Telemark kommuner,Kragerø,Ingen yrkesbakgrunn eller uoppgitt,25.0,
2025-06-01,Telemark kommuner,Kragerø,Ingeniør- og ikt-fag,9.0,1.0
2025-06-01,Telemark kommuner,Kragerø,Kontorarbeid,10.0,3.0
2025-06-01,Telemark kommuner,Kragerø,Ledere,10.0,2.0
2025-06-01,Telemark kommuner,Kragerø,Meglere og konsulenter,1.0,
2025-06-01,Telemark kommuner,Kragerø,Reiseliv og transport,16.0,5.0
2025-06-01,Telemark kommuner,Kragerø,Serviceyrker og annet arbeid,16.0,2.0
2025-06-01,Telemark kommuner,Kragerø,Undervisning,8.0,2.0
2025-06-01,Telemark kommuner,Kviteseid,Akademiske yrker,1.0,
2025-06-01,Telemark kommuner,Kviteseid,Butikk- og salgsarbeid,4.0,
2025-06-01,Telemark kommuner,Kviteseid,Bygg og anlegg,5.0,5.0
2025-06-01,Telemark kommuner,Kviteseid,"Helse, pleie og omsorg",,3.0
2025-06-01,Telemark kommuner,Kviteseid,Industriarbeid,,1.0
2025-06-01,Telemark kommuner,Kviteseid,Ingen yrkesbakgrunn eller uoppgitt,14.0,
2025-06-01,Telemark kommuner,Kviteseid,Ingeniør- og ikt-fag,1.0,
2025-06-01,Telemark kommuner,Kviteseid,Kontorarbeid,5.0,10.0
2025-06-01,Telemark kommuner,Kviteseid,Reiseliv og transport,3.0,1.0
2025-06-01,Telemark kommuner,Kviteseid,Serviceyrker og annet arbeid,5.0,3.0
