År;Region;Alder;Utflytting;Innflytting;Nettoflytting
2016;3816 Nome;58 år;;1;1
2016;3816 Nome;59 år;;1;1
2016;3816 Nome;6 år;3;6;3
2016;3816 Nome;60 år;2;2;0
2016;3816 Nome;61 år;1;3;2
2016;3816 Nome;62 år;4;1;-3
2016;3816 Nome;63 år;2;2;0
2016;3816 Nome;64 år;2;4;2
2016;3816 Nome;65 år;;1;1
2016;3816 Nome;66 år;2;3;1
2016;3816 Nome;67 år;2;2;0
2016;3816 Nome;68 år;3;;-3
2016;3816 Nome;69 år;3;1;-2
2016;3816 Nome;7 år;1;4;3
2016;3816 Nome;70 år;2;;-2
2016;3816 Nome;8 år;3;4;1
2016;3816 Nome;9 år;;3;3
2016;3817 Midt-Telemark;0 år;5;8;3
2016;3817 Midt-Telemark;1 år;10;13;3
2016;3817 Midt-Telemark;10 år;2;5;3
2016;3817 Midt-Telemark;11 år;5;5;0
2016;3817 Midt-Telemark;12 år;1;;-1
2016;3817 Midt-Telemark;13 år;6;4;-2
2016;3817 Midt-Telemark;14 år;1;7;6
2016;3817 Midt-Telemark;15 år;2;4;2
2016;3817 Midt-Telemark;16 år;4;12;8
2016;3817 Midt-Telemark;17 år;1;7;6
2016;3817 Midt-Telemark;18 år;13;17;4
2016;3817 Midt-Telemark;19 år;13;15;2
2016;3817 Midt-Telemark;2 år;11;6;-5
2016;3817 Midt-Telemark;20 år;19;41;22
2016;3817 Midt-Telemark;21 år;36;46;10
2016;3817 Midt-Telemark;22 år;41;46;5
2016;3817 Midt-Telemark;23 år;41;39;-2
2016;3817 Midt-Telemark;24 år;47;43;-4
2016;3817 Midt-Telemark;25 år;35;42;7
2016;3817 Midt-Telemark;26 år;28;31;3
2016;3817 Midt-Telemark;27 år;35;41;6
2016;3817 Midt-Telemark;28 år;22;20;-2
2016;3817 Midt-Telemark;29 år;25;18;-7
2016;3817 Midt-Telemark;3 år;4;7;3
2016;3817 Midt-Telemark;30 år;12;17;5
2016;3817 Midt-Telemark;31 år;17;20;3
2016;3817 Midt-Telemark;32 år;12;11;-1
2016;3817 Midt-Telemark;33 år;7;7;0
2016;3817 Midt-Telemark;34 år;13;11;-2
2016;3817 Midt-Telemark;35 år;7;4;-3
2016;3817 Midt-Telemark;36 år;11;10;-1
2016;3817 Midt-Telemark;37 år;8;7;-1
2016;3817 Midt-Telemark;38 år;10;6;-4
2016;3817 Midt-Telemark;39 år;4;6;2
2016;3817 Midt-Telemark;4 år;5;9;4
2016;3817 Midt-Telemark;40 år;6;6;0
2016;3817 Midt-Telemark;41 år;6;9;3
2016;3817 Midt-Telemark;42 år;5;3;-2
2016;3817 Midt-Telemark;43 år;2;5;3
2016;3817 Midt-Telemark;44 år;5;10;5
2016;3817 Midt-Telemark;45 år;6;7;1
2016;3817 Midt-Telemark;46 år;5;8;3
2016;3817 Midt-Telemark;47 år;2;3;1
2016;3817 Midt-Telemark;48 år;3;4;1
2016;3817 Midt-Telemark;49 år;5;6;1
2016;3817 Midt-Telemark;5 år;8;6;-2
2016;3817 Midt-Telemark;50 år;3;8;5
2016;3817 Midt-Telemark;51 år;4;2;-2
2016;3817 Midt-Telemark;52 år;2;3;1
2016;3817 Midt-Telemark;53 år;4;3;-1
2016;3817 Midt-Telemark;54 år;2;5;3
2016;3817 Midt-Telemark;55 år;2;3;1
2016;3817 Midt-Telemark;56 år;4;5;1
2016;3817 Midt-Telemark;57 år;6;2;-4
2016;3817 Midt-Telemark;58 år;2;6;4
2016;3817 Midt-Telemark;59 år;3;4;1
2016;3817 Midt-Telemark;6 år;7;12;5
2016;3817 Midt-Telemark;60 år;;4;4
2016;3817 Midt-Telemark;61 år;2;2;0
2016;3817 Midt-Telemark;62 år;2;1;-1
2016;3817 Midt-Telemark;63 år;3;5;2
2016;3817 Midt-Telemark;64 år;4;4;0
