region,statistikkvariabel,år,bygningstype,value
Notodden,Boliger (bebodde og ubebodde),2012,Boligblokk,411
Notodden,Boliger (bebodde og ubebodde),2012,Bygning for bofellesskap,293
Notodden,Boliger (bebodde og ubebodde),2012,Andre bygningstyper,391
Notodden,Boliger (bebodde og ubebodde),2013,Enebolig,4459
Notodden,Boliger (bebodde og ubebodde),2013,Tomannsbolig,649
Notodden,Boliger (bebodde og ubebodde),2013,"Rekkehus, kjedehus og andre småhus",524
Notodden,Boliger (bebodde og ubebodde),2013,Boligblokk,423
Notodden,Boliger (bebodde og ubebodde),2013,Bygning for bofellesskap,293
Notodden,Boliger (bebodde og ubebodde),2013,Andre bygningstyper,381
Notodden,Boliger (bebodde og ubebodde),2014,Enebolig,4466
Notodden,Boliger (bebodde og ubebodde),2014,Tomannsbolig,648
Notodden,Boliger (bebodde og ubebodde),2014,"Rekkehus, kjedehus og andre småhus",532
Notodden,Boliger (bebodde og ubebodde),2014,Boligblokk,425
Notodden,Boliger (bebodde og ubebodde),2014,Bygning for bofellesskap,294
Notodden,Boliger (bebodde og ubebodde),2014,Andre bygningstyper,380
Notodden,Boliger (bebodde og ubebodde),2015,Enebolig,4478
Notodden,Boliger (bebodde og ubebodde),2015,Tomannsbolig,638
Notodden,Boliger (bebodde og ubebodde),2015,"Rekkehus, kjedehus og andre småhus",546
Notodden,Boliger (bebodde og ubebodde),2015,Boligblokk,421
Notodden,Boliger (bebodde og ubebodde),2015,Bygning for bofellesskap,294
Notodden,Boliger (bebodde og ubebodde),2015,Andre bygningstyper,393
Notodden,Boliger (bebodde og ubebodde),2016,Enebolig,4495
Notodden,Boliger (bebodde og ubebodde),2016,Tomannsbolig,627
Notodden,Boliger (bebodde og ubebodde),2016,"Rekkehus, kjedehus og andre småhus",555
Notodden,Boliger (bebodde og ubebodde),2016,Boligblokk,421
Notodden,Boliger (bebodde og ubebodde),2016,Bygning for bofellesskap,295
Notodden,Boliger (bebodde og ubebodde),2016,Andre bygningstyper,415
Notodden,Boliger (bebodde og ubebodde),2017,Enebolig,4504
Notodden,Boliger (bebodde og ubebodde),2017,Tomannsbolig,623
Notodden,Boliger (bebodde og ubebodde),2017,"Rekkehus, kjedehus og andre småhus",565
Notodden,Boliger (bebodde og ubebodde),2017,Boligblokk,421
Notodden,Boliger (bebodde og ubebodde),2017,Bygning for bofellesskap,297
Notodden,Boliger (bebodde og ubebodde),2017,Andre bygningstyper,430
Notodden,Boliger (bebodde og ubebodde),2018,Enebolig,4511
Notodden,Boliger (bebodde og ubebodde),2018,Tomannsbolig,631
Notodden,Boliger (bebodde og ubebodde),2018,"Rekkehus, kjedehus og andre småhus",577
Notodden,Boliger (bebodde og ubebodde),2018,Boligblokk,437
Notodden,Boliger (bebodde og ubebodde),2018,Bygning for bofellesskap,292
Notodden,Boliger (bebodde og ubebodde),2018,Andre bygningstyper,429
Notodden,Boliger (bebodde og ubebodde),2019,Enebolig,4512
Notodden,Boliger (bebodde og ubebodde),2019,Tomannsbolig,627
Notodden,Boliger (bebodde og ubebodde),2019,"Rekkehus, kjedehus og andre småhus",592
Notodden,Boliger (bebodde og ubebodde),2019,Boligblokk,437
Notodden,Boliger (bebodde og ubebodde),2019,Bygning for bofellesskap,346
Notodden,Boliger (bebodde og ubebodde),2019,Andre bygningstyper,437
Notodden,Boliger (bebodde og ubebodde),2020,Enebolig,4746
Notodden,Boliger (bebodde og ubebodde),2020,Tomannsbolig,629
Notodden,Boliger (bebodde og ubebodde),2020,"Rekkehus, kjedehus og andre småhus",597
Notodden,Boliger (bebodde og ubebodde),2020,Boligblokk,431
Notodden,Boliger (bebodde og ubebodde),2020,Bygning for bofellesskap,391
Notodden,Boliger (bebodde og ubebodde),2020,Andre bygningstyper,440
Notodden,Boliger (bebodde og ubebodde),2021,Enebolig,4755
Notodden,Boliger (bebodde og ubebodde),2021,Tomannsbolig,627
Notodden,Boliger (bebodde og ubebodde),2021,"Rekkehus, kjedehus og andre småhus",616
Notodden,Boliger (bebodde og ubebodde),2021,Boligblokk,431
Notodden,Boliger (bebodde og ubebodde),2021,Bygning for bofellesskap,390
Notodden,Boliger (bebodde og ubebodde),2021,Andre bygningstyper,439
Notodden,Boliger (bebodde og ubebodde),2022,Enebolig,4772
Notodden,Boliger (bebodde og ubebodde),2022,Tomannsbolig,607
Notodden,Boliger (bebodde og ubebodde),2022,"Rekkehus, kjedehus og andre småhus",628
Notodden,Boliger (bebodde og ubebodde),2022,Boligblokk,428
Notodden,Boliger (bebodde og ubebodde),2022,Bygning for bofellesskap,395
Notodden,Boliger (bebodde og ubebodde),2022,Andre bygningstyper,463
Notodden,Boliger (bebodde og ubebodde),2023,Enebolig,4776
Notodden,Boliger (bebodde og ubebodde),2023,Tomannsbolig,609
Notodden,Boliger (bebodde og ubebodde),2023,"Rekkehus, kjedehus og andre småhus",629
Notodden,Boliger (bebodde og ubebodde),2023,Boligblokk,433
Notodden,Boliger (bebodde og ubebodde),2023,Bygning for bofellesskap,395
Notodden,Boliger (bebodde og ubebodde),2023,Andre bygningstyper,447
Notodden,Boliger (bebodde og ubebodde),2024,Enebolig,4787
Notodden,Boliger (bebodde og ubebodde),2024,Tomannsbolig,607
Notodden,Boliger (bebodde og ubebodde),2024,"Rekkehus, kjedehus og andre småhus",635
Notodden,Boliger (bebodde og ubebodde),2024,Boligblokk,438
Notodden,Boliger (bebodde og ubebodde),2024,Bygning for bofellesskap,395
