ogc_fid;pop_tot;ssbid250m
1259;7;23392506679000
1260;4;23407506679750
1261;1;23467506679000
1262;1;23390006679000
1263;1;23387506679250
1264;3;23392506679250
1265;2;23387506679750
1266;2;23385006679750
1267;2;23382506680250
1268;4;23382506680500
1269;2;23390006679750
1270;3;23387506680500
1271;1;23397506680250
1272;1;23390006680750
1273;2;23387506680750
1274;3;23392506680750
1275;1;23387506681250
1276;5;23397506681250
1277;2;23395006681500
1278;2;23385006680500
1279;1;23385006680750
1280;3;23385006681250
1281;2;23385006681500
1282;6;23382506681750
1283;2;23390006681500
1284;2;23387506681500
1285;5;23387506681750
1286;2;23390006681750
1287;4;23395006681750
1288;1;23397506681750
1289;1;23400006682000
1290;9;23395006682000
1291;11;23395006682250
1292;3;23397506682250
1293;1;23385006681750
1294;10;23382506682000
1295;4;23382506682250
1296;3;23382506682500
1297;2;23465006680750
1298;2;23465006681000
1299;1;23462506681250
1300;4;23405006679750
1301;3;23410006680000
1302;2;23410006680250
1303;1;23407506681250
1304;2;23407506681750
1305;1;23462506683000
1306;3;23392506682500
1307;8;23392506682750
1308;8;23390006683000
1309;2;23392506683000
1310;4;23400006682250
1311;1;23397506682500
1312;8;23395006682500
1313;2;23395006682750
1314;3;23385006683250
1315;10;23385006683500
1316;2;23382506683500
1317;4;23385006683750
1318;12;23382506683750
1319;4;23385006684000
1320;10;23382506684000
1321;10;23400006684500
1322;1;23385006684750
1323;2;23385006685250
1324;6;23400006684750
1325;2;23397506685000
1326;16;23400006685000
1327;3;23400006685250
1328;4;23395006685500
1329;7;23397506685500
1330;3;23387506685250
1331;3;23392506685250
1332;2;23390006685250
1333;9;23387506685500
1334;2;23475006679250
1335;1;23535006682500
1336;8;23525006686000
1337;1;23520006687250
1338;1;23487506685500
1339;3;23482506687250
1340;2;23495006687250
1341;13;23500006687500
1342;7;23495006687500
1343;5;23495006687750
1344;2;23500006687750
1345;25;23497506687750
1346;2;23510006687750
1347;4;23522506687000
1348;9;23527506687500
1349;3;23522506688000
1350;9;23517506687500
