Geografi,År,Kjønn,Alder,Sykdomsgruppe,Måltall,value
Telemark,2019,kjønn samlet,15-24 år,Skader,"per 1000, standardisert",114.843994820809
Telemark,2019,kjønn samlet,25-44 år,Skader,"per 1000, standardisert",98.4099583823626
Telemark,2019,kjønn samlet,45-74 år,Skader,"per 1000, standardisert",93.6037019882158
Telemark,2019,kjønn samlet,45-64 år,Skader,"per 1000, standardisert",95.3998106849794
Telemark,2019,kjønn samlet,65-74 år,Skader,"per 1000, standardisert",89.5712081168271
Telemark,2019,kjønn samlet,75-79 år,Skader,"per 1000, standardisert",106.116164749909
Telemark,2019,menn,0-74 år,Skader,"per 1000, standardisert",108.247481822797
Telemark,2019,menn,0-44 år,Skader,"per 1000, standardisert",116.9075134973
Telemark,2019,menn,0-24 år,Skader,"per 1000, standardisert",124.68625188217
Telemark,2019,menn,0-14 år,Skader,"per 1000, standardisert",123.993162748183
Telemark,2019,menn,15-24 år,Skader,"per 1000, standardisert",125.486747452346
Telemark,2019,menn,25-44 år,Skader,"per 1000, standardisert",110.139430255786
Telemark,2019,menn,45-74 år,Skader,"per 1000, standardisert",95.3826101364455
Telemark,2019,menn,45-64 år,Skader,"per 1000, standardisert",98.714551625681
Telemark,2019,menn,65-74 år,Skader,"per 1000, standardisert",87.533158509342
Telemark,2019,menn,75-79 år,Skader,"per 1000, standardisert",110.4256065639
Telemark,2019,kvinner,0-74 år,Skader,"per 1000, standardisert",92.9557961306403
Telemark,2019,kvinner,0-44 år,Skader,"per 1000, standardisert",94.5450404959254
